Source	Target	Weight	listOfSharedSNPs
Block_K55-K64	Block_K20-K31	51	['rs9875065', 'rs6767291', 'rs4518147', 'rs57621305', 'rs34137944', 'rs9859048', 'rs6773099', 'rs6763103', 'rs9867320', 'rs7626442', 'rs6804460', 'rs12489103', 'rs11130641', 'rs4681683', 'rs4390943', 'rs11130629', 'rs60962024', 'rs71311875', 'rs6762478', 'rs7231', 'rs3922713', 'rs9311674', 'rs6803151', 'rs13071861', 'rs2063644', 'rs11710823', 'rs13079905', 'rs4470539', 'rs13077234', 'rs12635366', 'rs13071422', 'rs6808714', 'rs4075152', 'rs6772652', 'rs12485999', 'rs4613423', 'rs4681851', 'rs4681856', 'rs4553989', 'rs2070662', 'rs6782218', 'rs6793328', 'rs4681852', 'rs9817356', 'rs9822328', 'rs4320076', 'rs4422332', 'rs9849239', 'rs6445974', 'rs7642018', 'rs6768547']
Block_K55-K64	Block_C43-C44	99	['rs9268970', 'rs9269076', 'rs9268923', 'rs9391877', 'rs3188543', 'rs111834747', 'rs75684124', 'rs71565331', 'rs9268979', 'rs9268969', 'rs34839759', 'rs1129735', 'rs9271607', 'rs28366267', 'rs9272319', 'rs9286790', 'rs28366302', 'rs9269079', 'rs9271589', 'rs9271469', 'rs28366358', 'rs114031016', 'rs9269069', 'rs28366315', 'rs9268860', 'rs9271549', 'rs28366328', 'rs71565340', 'rs9348886', 'rs28383415', 'rs112587701', 'rs9272492', 'rs7747529', 'rs28724031', 'rs200771848', 'rs9271592', 'rs12215261', 'rs28772724', 'rs9268852', 'rs9271574', 'rs9271605', 'rs9269084', 'rs9269078', 'rs9271584', 'rs9271576', 'rs9268849', 'rs28366319', 'rs9272744', 'rs3129774', 'rs9268858', 'rs9271485', 'rs9268888', 'rs9268863', 'rs9380306', 'rs12215313', 'rs9268864', 'rs9268905', 'rs9271776', 'rs9268853', 'rs9391781', 'rs28383408', 'rs9268877', 'rs9271769', 'rs111797109', 'rs76965357', 'rs9405112', 'rs9405108', 'rs9405110', 'rs9269071', 'rs9271693', 'rs9368726', 'rs9271488', 'rs2395186', 'rs7739375', 'rs9271644', 'rs28383413', 'rs9405109', 'rs9271511', 'rs114931587', 'rs9271542', 'rs77122291', 'rs3208409', 'rs9268906', 'Affx-28475675', 'rs111343881', 'rs9391878', 'rs9271585', 'rs7739203', 'rs9271411', 'rs9271520', 'rs35095850', 'rs9405040', 'rs9268881', 'rs9268965', 'rs34276369', 'rs7755212', 'rs9271470', 'rs9271544', 'rs9268912']
Block_K55-K64	Block_L40-L45	7	['rs2530710', 'rs204993', 'rs2517433', 'rs1634731', 'rs915895', 'rs2530707', 'rs2442725']
Block_K55-K64	Block_K40-K46	7	['rs10207635', 'rs11899888', 'rs1802575', 'rs11899380', 'rs75439645', 'rs9309272', 'rs10199082']
Block_K55-K64	Block_J40-J47	151	['rs9268970', 'rs9274552', 'rs9268923', 'rs9269076', 'rs9391877', 'rs1063349', 'rs3188543', 'rs585305', 'rs556025', 'rs111834747', 'rs75684124', 'rs9273330', 'rs71565331', 'rs9268979', 'rs9268969', 'rs34839759', 'rs1129735', 'rs9271607', 'rs28366267', 'rs9272319', 'rs9286790', 'rs28366302', 'rs3828790', 'rs9273493', 'rs9269079', 'rs9273242', 'rs9271589', 'rs28360855', 'rs7751376', 'rs9271469', 'rs28366358', 'rs9273329', 'rs114031016', 'rs9272346', 'rs9269069', 'rs17612548', 'rs28366315', 'rs9268860', 'rs9271549', 'rs28366328', 'rs71565340', 'rs1140343', 'rs9348886', 'rs17612633', 'rs28383415', 'rs112587701', 'rs9272492', 'rs6927022', 'rs7747529', 'rs9273524', 'rs9271544', 'rs17843573', 'rs28724031', 'rs200771848', 'rs9271592', 'rs12215261', 'rs28772724', 'rs9268852', 'rs9271574', 'rs7745002', 'rs9271605', 'rs9269084', 'rs9273354', 'rs17612802', 'rs9269078', 'rs2523663', 'rs204993', 'rs477515', 'rs9271584', 'rs9271576', 'rs17612625', 'rs1063355', 'rs9268849', 'rs28366319', 'rs9272744', 'rs3129774', 'rs17612781', 'rs3134996', 'rs9268858', 'rs9272417', 'rs9271485', 'rs9268888', 'rs9268863', 'rs9380306', 'rs12215313', 'rs9273326', 'rs9268864', 'rs1063348', 'rs9268905', 'rs2073044', 'rs17612858', 'rs9273084', 'rs9271776', 'rs113568276', 'rs9268853', 'rs9391781', 'rs28383408', 'rs9268877', 'rs9271769', 'rs111797109', 'rs76965357', 'rs111365964', 'rs9405112', 'rs9405108', 'rs9405110', 'rs9274660', 'rs9269071', 'rs17843580', 'rs9271693', 'rs9368726', 'rs1129740', 'rs9271488', 'rs2395186', 'rs7739375', 'rs9271644', 'rs113322920', 'rs28383413', 'rs9405109', 'rs522308', 'rs9271511', 'rs114931587', 'rs9271542', 'rs77122291', 'rs3208409', 'rs9268906', 'rs17612576', 'Affx-28475675', 'rs111343881', 'rs17612788', 'rs3828789', 'rs9391878', 'rs9271585', 'rs9273532', 'rs7739203', 'rs12211942', 'rs9271411', 'rs9271520', 'rs35095850', 'rs74824383', 'rs9268848', 'rs9405040', 'rs3134998', 'rs685810', 'rs9268881', 'rs9268965', 'rs9273088', 'rs7755212', 'rs34276369', 'rs9271470', 'rs9268912', 'rs2516051']
Block_K55-K64	Block_I80-I89	1	['rs12409869']
Block_K55-K64	Block_C15-C26	7	['rs9806137', 'rs2293581', 'rs73376930', 'rs1406389', 'rs8034965', 'rs2293582', 'rs79207432']
Block_K55-K64	Block_K90-K93	65	['rs9269076', 'rs9274552', 'rs1129740', 'rs7739375', 'rs17612781', 'rs3134996', 'rs113322920', 'rs1063349', 'rs9272417', 'rs17612548', 'rs9268888', 'rs1140343', 'rs9273330', 'rs9268863', 'rs17612633', 'rs9268979', 'rs6927022', 'rs9273326', 'rs1129735', 'rs9273524', 'rs17612576', 'rs1063348', 'Affx-28475675', 'rs17843573', 'rs17612788', 'rs3828789', 'rs2859448', 'rs2073044', 'rs9273532', 'rs17612858', 'rs7739203', 'rs3828790', 'rs9268852', 'rs9273084', 'rs113568276', 'rs7745002', 'rs9269084', 'rs9273354', 'rs9273493', 'rs9269069', 'rs74824383', 'rs17612802', 'rs9269079', 'rs915895', 'rs9273242', 'rs9268877', 'rs9269078', 'rs2442725', 'rs9268848', 'rs2523663', 'rs204993', 'rs7751376', 'rs2596443', 'rs9273329', 'rs3134998', 'rs17612625', 'rs1063355', 'rs9274660', 'rs9272346', 'rs9269071', 'rs9268881', 'rs9273088', 'rs7755212', 'rs17843580', 'rs9268912']
Block_K55-K64	Block_N30-N39	1	['rs1055710']
Block_K55-K64	Block_E00-E07	85	['rs9269076', 'rs9274552', 'rs1063349', 'rs12405774', 'rs9273330', 'rs9268979', 'rs10889115', 'rs12409869', 'rs3828790', 'rs12118682', 'rs9273493', 'rs9269079', 'rs9273242', 'rs4681851', 'rs7751376', 'rs9273329', 'rs114031016', 'rs9849239', 'rs9272346', 'rs9269069', 'rs17612548', 'rs1140343', 'rs17612633', 'rs6927022', 'rs9273524', 'rs17843573', 'rs2859448', 'rs7548025', 'rs9268852', 'rs13079905', 'rs7745002', 'rs9269084', 'rs9273354', 'rs17612802', 'rs9269078', 'rs7524931', 'rs2523663', 'rs204993', 'rs34882065', 'rs17612625', 'rs1063355', 'rs12747063', 'rs34137944', 'rs6763103', 'rs17612781', 'rs3134996', 'rs9272417', 'rs9268888', 'rs9268863', 'rs9273326', 'rs1063348', 'rs71311875', 'rs2073044', 'rs17612858', 'rs9273084', 'rs113568276', 'rs6807387', 'rs9268877', 'rs4681856', 'rs2442725', 'rs111365964', 'rs9274660', 'rs9269071', 'rs17843580', 'rs1129740', 'rs7739375', 'rs113322920', 'rs17612576', 'Affx-28475675', 'rs17612788', 'rs3828789', 'rs9273532', 'rs7739203', 'rs13071861', 'rs74824383', 'rs9268848', 'rs915895', 'rs4681852', 'rs2596443', 'rs3134998', 'rs4422332', 'rs9268881', 'rs9273088', 'rs7755212', 'rs9268912']
Block_K55-K64	Block_G50-G59	4	['rs74824383', 'rs17612802', 'rs9273354', 'rs9273088']
Block_K55-K64	Block_M95-M99	1	['rs62435243']
Block_K55-K64	Block_K70-K77	1	['rs9268848']
Block_K55-K64	Block_D60-D64	56	['rs9269076', 'rs9274552', 'rs1129740', 'rs7739375', 'rs17612781', 'rs3134996', 'rs1063349', 'rs17612548', 'rs9268888', 'rs1140343', 'rs9273330', 'rs9268863', 'rs17612633', 'rs9268979', 'rs6927022', 'rs9273326', 'rs9273524', 'rs17612576', 'rs1063348', 'Affx-28475675', 'rs17843573', 'rs17612788', 'rs3828789', 'rs9273532', 'rs17612858', 'rs7739203', 'rs3828790', 'rs9268852', 'rs9273084', 'rs7745002', 'rs9269084', 'rs9273354', 'rs9273493', 'rs9269069', 'rs74824383', 'rs17612802', 'rs9269079', 'rs915895', 'rs9273242', 'rs9268877', 'rs9269078', 'rs9268848', 'rs204993', 'rs7751376', 'rs9273329', 'rs3134998', 'rs17612625', 'rs1063355', 'rs9274660', 'rs9272346', 'rs9269071', 'rs9268881', 'rs9273088', 'rs7755212', 'rs17843580', 'rs9268912']
Block_K55-K64	Block_E10-E14	158	['rs9268970', 'rs9274552', 'rs9268923', 'rs9269076', 'rs2517433', 'rs2530710', 'rs9391877', 'rs1063349', 'rs3188543', 'rs585305', 'rs556025', 'rs111834747', 'rs75684124', 'rs9273330', 'rs71565331', 'rs9268979', 'rs9268969', 'rs34839759', 'rs1129735', 'rs9271607', 'rs28366267', 'rs2530707', 'rs9272319', 'rs9286790', 'rs28366302', 'rs3828790', 'rs9273493', 'rs9269079', 'rs9273242', 'rs9271589', 'rs7751376', 'rs9271469', 'rs28366358', 'rs9273329', 'rs114031016', 'rs1634731', 'rs9272346', 'rs9269069', 'rs17612548', 'rs28366315', 'rs9268860', 'rs9271549', 'rs28366328', 'rs71565340', 'rs1140343', 'rs9348886', 'rs17612633', 'rs28383415', 'rs112587701', 'rs9272492', 'rs6927022', 'rs7747529', 'rs9273524', 'rs9271544', 'rs17843573', 'rs28724031', 'rs200771848', 'rs9271592', 'rs12215261', 'rs2859448', 'rs28772724', 'rs9268852', 'rs9271574', 'rs7745002', 'rs9271605', 'rs9269084', 'rs9273354', 'rs17612802', 'rs9269078', 'rs2523663', 'rs204993', 'rs477515', 'rs9271584', 'rs9271576', 'rs17612625', 'rs1063355', 'rs9268849', 'rs28366319', 'rs9272744', 'rs3129774', 'rs17612781', 'rs3134996', 'rs9268858', 'rs9272417', 'rs9271485', 'rs9268888', 'rs9268863', 'rs9380306', 'rs12215313', 'rs9273326', 'rs9268864', 'rs1063348', 'rs9268905', 'rs2073044', 'rs17612858', 'rs9273084', 'rs9271776', 'rs113568276', 'rs9268853', 'rs9391781', 'rs28383408', 'rs9268877', 'rs2442725', 'rs9271769', 'rs111797109', 'rs76965357', 'rs111365964', 'rs9405112', 'rs9405108', 'rs9405110', 'rs9274660', 'rs9269071', 'rs17843580', 'rs9271693', 'rs9368726', 'rs1129740', 'rs9271488', 'rs2395186', 'rs7739375', 'rs9271644', 'rs113322920', 'rs28383413', 'rs9405109', 'rs522308', 'rs9271511', 'rs114931587', 'rs9271542', 'rs77122291', 'rs3208409', 'rs9268906', 'rs17612576', 'Affx-28475675', 'rs111343881', 'rs17612788', 'rs3828789', 'rs9391878', 'rs9271585', 'rs9273532', 'rs7739203', 'rs12211942', 'rs9271411', 'rs9271520', 'rs35095850', 'rs74824383', 'rs9268848', 'rs915895', 'rs9405040', 'rs2596443', 'rs3134998', 'rs685810', 'rs9268881', 'rs9268965', 'rs9273088', 'rs7755212', 'rs34276369', 'rs9271470', 'rs9268912', 'rs2516051']
Block_K55-K64	Block_G35-G37	155	['rs9268970', 'rs9274552', 'rs9268923', 'rs9269076', 'rs2517433', 'rs2530710', 'rs9391877', 'rs1063349', 'rs3188543', 'rs585305', 'rs556025', 'rs111834747', 'rs75684124', 'rs9273330', 'rs71565331', 'rs9268979', 'rs9268969', 'rs34839759', 'rs1129735', 'rs9271607', 'rs28366267', 'rs2530707', 'rs9272319', 'rs9286790', 'rs28366302', 'rs3828790', 'rs9273493', 'rs9269079', 'rs9273242', 'rs9271589', 'rs7751376', 'rs9271469', 'rs28366358', 'rs9273329', 'rs114031016', 'rs1634731', 'rs9272346', 'rs9269069', 'rs17612548', 'rs28366315', 'rs9268860', 'rs9271549', 'rs28366328', 'rs71565340', 'rs1140343', 'rs9348886', 'rs17612633', 'rs28383415', 'rs112587701', 'rs9272492', 'rs6927022', 'rs7747529', 'rs9273524', 'rs9271544', 'rs17843573', 'rs28724031', 'rs200771848', 'rs9271592', 'rs12215261', 'rs2859448', 'rs28772724', 'rs9268852', 'rs9271574', 'rs7745002', 'rs9271605', 'rs9269084', 'rs9273354', 'rs17612802', 'rs9269078', 'rs2523663', 'rs477515', 'rs9271584', 'rs9271576', 'rs17612625', 'rs1063355', 'rs9268849', 'rs28366319', 'rs9272744', 'rs3129774', 'rs17612781', 'rs3134996', 'rs9268858', 'rs9272417', 'rs9271485', 'rs9268888', 'rs9268863', 'rs9380306', 'rs12215313', 'rs9273326', 'rs9268864', 'rs1063348', 'rs9268905', 'rs2073044', 'rs17612858', 'rs9273084', 'rs9271776', 'rs113568276', 'rs9268853', 'rs9391781', 'rs28383408', 'rs9268877', 'rs9271769', 'rs111797109', 'rs76965357', 'rs111365964', 'rs9405112', 'rs9405108', 'rs9405110', 'rs9274660', 'rs9269071', 'rs17843580', 'rs9271693', 'rs9368726', 'rs1129740', 'rs9271488', 'rs2395186', 'rs7739375', 'rs9271644', 'rs113322920', 'rs28383413', 'rs9405109', 'rs522308', 'rs9271511', 'rs114931587', 'rs9271542', 'rs77122291', 'rs3208409', 'rs9268906', 'rs17612576', 'Affx-28475675', 'rs111343881', 'rs17612788', 'rs3828789', 'rs9391878', 'rs9271585', 'rs9273532', 'rs7739203', 'rs12211942', 'rs9271411', 'rs9271520', 'rs35095850', 'rs74824383', 'rs9268848', 'rs9405040', 'rs2596443', 'rs3134998', 'rs685810', 'rs9268881', 'rs9268965', 'rs9273088', 'rs7755212', 'rs34276369', 'rs9271470', 'rs9268912', 'rs2516051']
Block_K55-K64	Block_E65-E68	2	['rs35983068', 'rs58759340']
Block_K55-K64	Block_H30-H36	1	['rs9273354']
Block_K55-K64	Block_M05-M14	149	['rs9268970', 'rs9274552', 'rs9268923', 'rs9269076', 'rs9391877', 'rs1063349', 'rs3188543', 'rs585305', 'rs556025', 'rs111834747', 'rs75684124', 'rs9273330', 'rs71565331', 'rs9268979', 'rs9268969', 'rs34839759', 'rs1129735', 'rs9271607', 'rs28366267', 'rs4989480', 'rs9272319', 'rs9286790', 'rs28366302', 'rs3828790', 'rs9273493', 'rs9269079', 'rs9273242', 'rs9271589', 'rs7751376', 'rs9271469', 'rs28366358', 'rs9273329', 'rs114031016', 'rs9272346', 'rs9269069', 'rs17612548', 'rs28366315', 'rs9268860', 'rs9271549', 'rs28366328', 'rs71565340', 'rs1140343', 'rs9348886', 'rs17612633', 'rs28383415', 'rs112587701', 'rs9272492', 'rs6927022', 'rs7747529', 'rs9273524', 'rs9271544', 'rs17843573', 'rs28724031', 'rs200771848', 'rs9271592', 'rs12215261', 'rs28772724', 'rs9268852', 'rs9271574', 'rs7745002', 'rs9271605', 'rs9269084', 'rs9273354', 'rs17612802', 'rs9269078', 'rs477515', 'rs9271584', 'rs9271576', 'rs17612625', 'rs1063355', 'rs9268849', 'rs28366319', 'rs9272744', 'rs3129774', 'rs17612781', 'rs3134996', 'rs9268858', 'rs9272417', 'rs9271485', 'rs9268888', 'rs9268863', 'rs9380306', 'rs12215313', 'rs9273326', 'rs9268864', 'rs1063348', 'rs9268905', 'rs2073044', 'rs17612858', 'rs9273084', 'rs9271776', 'rs113568276', 'rs9268853', 'rs9391781', 'rs28383408', 'rs9268877', 'rs9271769', 'rs111797109', 'rs76965357', 'rs111365964', 'rs9405112', 'rs9405108', 'rs9405110', 'rs9274660', 'rs9269071', 'rs17843580', 'rs9271693', 'rs9368726', 'rs1129740', 'rs9271488', 'rs2395186', 'rs7739375', 'rs9271644', 'rs113322920', 'rs28383413', 'rs9405109', 'rs522308', 'rs9271511', 'rs114931587', 'rs9271542', 'rs77122291', 'rs3208409', 'rs9268906', 'rs17612576', 'Affx-28475675', 'rs111343881', 'rs17612788', 'rs3828789', 'rs9391878', 'rs9271585', 'rs9273532', 'rs7739203', 'rs12211942', 'rs9271411', 'rs9271520', 'rs35095850', 'rs74824383', 'rs9268848', 'rs9405040', 'rs3134998', 'rs685810', 'rs9268881', 'rs9268965', 'rs9273088', 'rs7755212', 'rs34276369', 'rs9271470', 'rs9268912', 'rs2516051']
Block_K55-K64	Block_I26-I28	3	['rs660340', 'rs633862', 'rs581107']
Block_K55-K64	Block_J30-J39	3	['rs111365964', 'rs9272417', 'rs113322920']
Block_K55-K64	Block_I10-I15	239	['rs4888416', 'rs4888411', 'rs3784935', 'rs7185640', 'rs1010630', 'rs2865531', 'rs12448947', 'rs4888414', 'rs7206541', 'rs12444589', 'rs35214308', 'rs113251659', 'rs4888390', 'rs11640674', 'rs59465235', 'rs12917651', 'rs6564259', 'rs6564260', 'rs12928722', 'rs2744938', 'rs17696696', 'rs11644639', 'rs9469907', 'rs1109341', 'rs11862095', 'rs7499872', 'rs11861810', 'rs11149830', 'rs12933281', 'rs4887816', 'rs4888378', 'rs4888418', 'rs35683383', 'rs7206665', 'rs12051111', 'rs12449170', 'rs6564258', 'rs2059256', 'rs10871312', 'rs2285223', 'rs7202567', 'rs11642921', 'rs12051136', 'rs34673655', 'rs35263058', 'rs4888407', 'rs4888413', 'rs11149833', 'rs1030261', 'rs3851734', 'rs12149063', 'rs12051326', 'rs2285225', 'rs35209155', 'rs8046697', 'rs7204984', 'rs3863442', 'rs12924920', 'rs3863445', 'rs3863447', 'rs4888388', 'rs4888386', 'rs1030262', 'rs4888376', 'rs8056080', 'rs12599361', 'rs11149820', 'rs2285222', 'rs4888405', 'rs11149818', 'rs12929673', 'rs11149825', 'rs10514396', 'rs11082707', 'rs11865004', 'rs62059844', 'rs4888408', 'rs4887818', 'rs4887820', 'rs11646852', 'rs10871311', 'rs11646044', 'rs4888372', 'rs11149829', 'rs7202596', 'rs4243112', 'rs35787595', 'rs12922951', 'rs7200053', 'rs62062572', 'rs11641532', 'rs8051407', 'rs8048527', 'rs34029337', 'rs8060955', 'rs8054769', 'rs4887815', 'rs4993969', 'rs12443834', 'rs71394207', 'rs12443904', 'rs12928036', 'rs4888400', 'rs7188604', 'rs11149824', 'rs4887824', 'rs10514393', 'rs7191890', 'rs4888404', 'rs11644741', 'rs2161648', 'rs7188231', 'rs62062567', 'rs12445726', 'rs1011121', 'rs34296964', 'rs4638613', 'rs17696749', 'rs8057849', 'rs1559339', 'rs1319948', 'rs8057535', 'rs4888422', 'rs17685540', 'rs4888379', 'rs7194129', 'rs11643410', 'rs8057203', 'rs11149828', 'rs35937717', 'rs4887825', 'rs2865528', 'rs1549306', 'rs12930768', 'rs7200616', 'rs4993970', 'rs2285224', 'rs4888427', 'rs1542864', 'rs8046000', 'rs35552529', 'rs4888392', 'rs3743609', 'rs11860231', 'rs7199132', 'rs34021527', 'rs11864587', 'rs56004344', 'rs2903033', 'rs67409275', 'rs6564252', 'rs10459859', 'rs8056236', 'rs3851738', 'rs8050769', 'rs11641587', 'rs4888406', 'rs12924782', 'rs4888383', 'rs4888425', 'rs11149827', 'rs4888403', 'rs11864102', 'rs4888387', 'rs1364079', 'rs2865530', 'rs4888420', 'rs59155720', 'rs11858992', 'rs72787160', 'rs4887821', 'rs11641801', 'rs4888415', 'rs4888385', 'rs11149815', 'rs1808434', 'rs34222958', 'rs12930452', 'rs3863446', 'rs11862684', 'rs4594277', 'rs1109342', 'rs11645329', 'rs11642572', 'rs4887823', 'rs4146809', 'rs4888412', 'rs7203157', 'rs1364078', 'rs1317983', 'rs4243111', 'rs11860284', 'rs2113232', 'rs4888389', 'rs12935787', 'rs8055974', 'rs11862719', 'rs2161684', 'rs62062564', 'rs59686216', 'rs62062565', 'rs7184525', 'rs35952313', 'rs11149832', 'rs4887822', 'rs60730309', 'rs11648176', 'rs10431974', 'rs12929908', 'rs8046696', 'rs4888391', 'rs4888380', 'rs766521', 'rs56343285', 'rs1895490', 'rs1364077', 'rs12928898', 'rs35737321', 'rs4888410', 'rs4888409', 'rs2814944', 'rs11646677', 'rs34624768', 'rs3851733', 'rs1544810', 'rs1319946', 'rs11149826', 'rs34996006', 'rs11865296', 'rs4146810', 'rs8050059', 'rs4888426', 'rs11862582', 'rs8046109', 'rs12927562', 'rs3851737', 'rs62062568', 'rs35415181', 'rs35261357']
Block_K55-K64	Block_D00-D09	46	['rs9274552', 'rs1129740', 'rs3134996', 'rs17612781', 'rs113322920', 'rs1063349', 'rs9272417', 'rs1140343', 'rs9273330', 'rs17612633', 'rs112587701', 'rs9272492', 'rs6927022', 'rs9273326', 'rs9273524', 'rs17843573', 'rs1063348', 'rs17612576', 'rs17612788', 'rs3828789', 'rs9273532', 'rs17612858', 'rs3828790', 'rs9273084', 'rs113568276', 'rs7745002', 'rs9273354', 'rs9273493', 'rs74824383', 'rs17612802', 'rs9268848', 'rs9273242', 'rs7751376', 'rs111797109', 'rs76965357', 'rs9273329', 'rs114031016', 'rs17612625', 'rs1063355', 'rs3134998', 'rs685810', 'rs9274660', 'rs9272346', 'rs17843580', 'rs9273088', 'rs17612548']
Block_F10-F19	Block_M20-M25	57	['rs10262103', 'rs2894699', 'rs1989903', 'rs7458242', 'rs727644', 'rs4730634', 'rs4727799', 'rs12667224', 'rs12534017', 'rs2189015', 'rs1229760', 'rs6466488', 'rs10280045', 'rs9969232', 'rs12536335', 'rs1818998', 'rs1859100', 'rs7783012', 'rs2140615', 'rs7797335', 'rs7785701', 'rs1476535', 'rs2396726', 'rs12705966', 'rs8180817', 'rs10266297', 'rs9641516', 'rs2030915', 'rs1818999', 'rs10228494', 'rs10249234', 'rs10244257', 'rs10953758', 'rs2189012', 'rs2045292', 'rs12705961', 'rs2189010', 'rs12537376', 'rs7779476', 'rs12533005', 'rs35624276', 'rs6969376', 'rs1852470', 'rs6974757', 'rs1229761', 'rs2396753', 'rs1015511', 'rs13225495', 'rs2040658', 'rs6942634', 'rs66571810', 'rs13232831', 'rs4730636', 'rs10262462', 'rs12705960', 'rs6980093', 'rs1229762']
Block_F10-F19	Block_K20-K31	5	['rs953988', 'rs12453010', 'rs12602632', 'rs34796998', 'rs967823']
Block_F10-F19	Block_J40-J47	36	['rs10905462', 'rs10508367', 'rs7078430', 'rs7914614', 'rs12190256', 'rs11255918', 'rs11255904', 'rs11255908', 'rs1112277', 'rs11255901', 'rs4747810', 'rs10905463', 'rs11255906', 'rs2986303', 'rs17144471', 'rs17652897', 'rs11255900', 'rs11255902', 'rs4749819', 'rs7917251', 'rs7903379', 'rs10905461', 'rs12204978', 'rs1112278', 'rs11255907', 'rs17144518', 'rs11255899', 'rs10905465', 'rs4749821', 'rs11255903', 'rs10795676', 'rs7902431', 'rs11255905', 'rs979534', 'rs2182517', 'rs7026534']
Block_F10-F19	Block_F40-F48	1	['rs2140615']
Block_F10-F19	Block_M70-M79	8	['rs34247981', 'rs67659822', 'rs4791967', 'rs73283630', 'rs4791966', 'rs17762811', 'rs34793094', 'rs58325238']
Block_F10-F19	Block_N25-N29	2	['rs2398548', 'rs4964948']
Block_F10-F19	Block_E70-E90	15	['rs2175440', 'rs4241647', 'rs1355447', 'rs953447', 'rs672569', 'rs62305739', 'rs17522122', 'rs6849275', 'rs1397808', 'rs2048464', 'rs6551786', 'rs7665683', 'rs1337248', 'rs4370162', 'rs6817253']
Block_F10-F19	Block_M05-M14	1	['rs2140615']
Block_M50-M54	Block_I80-I89	3	['rs9932423', 'rs9933309', 'rs2002833']
Block_M50-M54	Block_M45-M49	21	['rs12444820', 'rs2058189', 'rs10874955', 'rs61792393', 'rs4468644', 'rs4615895', 'rs12149504', 'rs4274114', 'rs2008673', 'rs12445359', 'rs10127720', 'rs4786193', 'rs35698271', 'rs34032597', 'rs4950078', 'rs12444819', 'rs4390224', 'rs6699953', 'rs4497261', 'rs4641341', 'rs6685261']
Block_M50-M54	Block_M15-M19	33	['rs1807968', 'rs3821270', 'rs3755383', 'rs1862059', 'rs3771498', 'rs7561547', 'rs11674035', 'rs3821264', 'rs3755384', 'rs7561997', 'rs2862851', 'rs958685', 'rs1851610', 'rs1862058', 'rs10469958', 'rs3821262', 'rs3771501', 'rs3771505', 'rs3911078', 'rs3755381', 'rs1523305', 'rs1448927', 'rs3771503', 'rs2166976', 'rs958686', 'rs3755385', 'rs3755380', 'rs3821269', 'rs3849383', 'rs7571789', 'rs2902345', 'rs1523304', 'rs2122129']
Block_M50-M54	Block_M95-M99	7	['rs169275', 'rs273644', 'rs273648', 'rs273649', 'rs273652', 'rs273646', 'rs273645']
Block_M50-M54	Block_E65-E68	13	['rs2887519', 'rs73213821', 'rs113143077', 'rs3762671', 'rs11708107', 'rs73213842', 'rs17344445', 'rs3844501', 'rs73213844', 'rs72867447', 'rs11706024', 'rs116660374', 'rs11824092']
